instance_id,N,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,replication,method,threshold,delta,max_platoon_size,Pmax,run_role,point_index,time_s,incumbent_total_delay,incumbent_average_delay,best_bound_total_delay,best_bound_average_delay,mip_gap
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,NP,,,1,1,uniform_600s,8,0.028107881546020508,87.99999999999636,4.399999999999818,41.18251362928493,2.0591256814642462,0.5320168905762883
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,NP,,,1,1,uniform_600s,9,1.17750883102417,88.0,4.4,87.99999999999636,4.399999999999818,4.134066826240583e-14
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,CHP,4,4,,,uniform_600s,0,0.00019311904907226562,157.0,7.85,-1e+100,-5e+98,6.369426751592357e+97
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,CHP,4,4,,,uniform_600s,1,0.002171039581298828,109.0,5.45,1.0,0.05,0.9908256880733946
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,CHP,4,4,,,uniform_600s,2,0.003077983856201172,93.0,4.65,1.0,0.05,0.989247311827957
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,CHP,4,4,,,uniform_600s,3,0.006906032562255859,90.99999999999397,4.549999999999699,54.38838744912008,2.719419372456004,0.4023254126469925
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,CHP,4,4,,,uniform_600s,4,0.01536417007446289,88.0,4.4,67.16666666666555,3.3583333333332774,0.23674242424243694
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,CHP,4,4,,,uniform_600s,5,0.05797219276428223,88.0,4.4,88.0,4.4,0.0
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,PP,4,4,4,4,uniform_600s,0,0.00022101402282714844,157.0,7.85,-1e+100,-5e+98,6.369426751592357e+97
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,PP,4,4,4,4,uniform_600s,1,0.0018990039825439453,109.0,5.45,1.0,0.05,0.9908256880733946
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,PP,4,4,4,4,uniform_600s,2,0.003047943115234375,93.0,4.65,1.0,0.05,0.989247311827957
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,PP,4,4,4,4,uniform_600s,3,0.007972002029418945,90.99999999999397,4.549999999999699,54.38838744912008,2.719419372456004,0.4023254126469925
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,PP,4,4,4,4,uniform_600s,4,0.017854928970336914,88.0,4.4,67.16666666666555,3.3583333333332774,0.23674242424243694
N20_lambda0p5_rep002_seed1402257203488382018,20,0.5,0.5,0.5,0.125,2,PP,4,4,4,4,uniform_600s,5,0.07222700119018555,88.0,4.4,88.0,4.4,0.0
N20_lambda0p5_rep003_seed2077489077888113066,20,0.5,0.5,0.5,0.125,3,NP,,,1,1,uniform_600s,0,0.00021696090698242188,113.0,5.65,-1e+100,-5e+98,8.849557522123894e+97
N20_lambda0p5_rep003_seed2077489077888113066,20,0.5,0.5,0.5,0.125,3,NP,,,1,1,uniform_600s,1,0.002602815628051758,12.0,0.6,2.0,0.1,0.8333333333333334
N20_lambda0p5_rep003_seed2077489077888113066,20,0.5,0.5,0.5,0.125,3,CHP,4,4,,,uniform_600s,0,0.00014519691467285156,38.0,1.9,-1e+100,-5e+98,2.6315789473684212e+98
N20_lambda0p5_rep003_seed2077489077888113066,20,0.5,0.5,0.5,0.125,3,CHP,4,4,,,uniform_600s,1,0.0015411376953125,29.0,1.45,2.0,0.1,0.9310344827586207
N20_lambda0p5_rep003_seed2077489077888113066,20,0.5,0.5,0.5,0.125,3,CHP,4,4,,,uniform_600s,2,0.0016701221466064453,17.999999999999318,0.8999999999999659,2.0,0.1,0.8888888888888847
N20_lambda0p5_rep003_seed2077489077888113066,20,0.5,0.5,0.5,0.125,3,CHP,4,4,,,uniform_600s,3,0.0018391609191894531,13.99999999999909,0.6999999999999545,2.0,0.1,0.8571428571428479
N20_lambda0p5_rep003_seed2077489077888113066,20,0.5,0.5,0.5,0.125,3,CHP,4,4,,,uniform_600s,4,0.002086162567138672,12.0,0.6,2.0,0.1,0.8333333333333334
N20_lambda0p5_rep003_seed2077489077888113066,20,0.5,0.5,0.5,0.125,3,PP,4,4,4,4,uniform_600s,0,0.0001800060272216797,38.0,1.9,-1e+100,-5e+98,2.6315789473684212e+98
N20_lambda0p5_rep003_seed2077489077888113066,20,0.5,0.5,0.5,0.125,3,PP,4,4,4,4,uniform_600s,1,0.0019419193267822266,29.0,1.45,2.0,0.1,0.9310344827586207
N20_lambda0p5_rep003_seed2077489077888113066,20,0.5,0.5,0.5,0.125,3,PP,4,4,4,4,uniform_600s,2,0.002106904983520508,17.999999999999318,0.8999999999999659,2.0,0.1,0.8888888888888847
N20_lambda0p5_rep003_seed2077489077888113066,20,0.5,0.5,0.5,0.125,3,PP,4,4,4,4,uniform_600s,3,0.0023419857025146484,13.99999999999909,0.6999999999999545,2.0,0.1,0.8571428571428479
N20_lambda0p5_rep003_seed2077489077888113066,20,0.5,0.5,0.5,0.125,3,PP,4,4,4,4,uniform_600s,4,0.002671957015991211,12.0,0.6,2.0,0.1,0.8333333333333334
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,NP,,,1,1,uniform_600s,0,0.002251148223876953,580.9999999999991,29.049999999999955,1.0,0.05,0.9982788296041308
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,NP,,,1,1,uniform_600s,1,0.004383087158203125,38.0,1.9,1.0,0.05,0.9736842105263158
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,NP,,,1,1,uniform_600s,2,0.004928112030029297,35.999999999988404,1.7999999999994203,1.0,0.05,0.9722222222222133
