N,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,method,threshold,delta,max_platoon_size,Pmax,case_count,optimality_rate,mean_average_delay_or_incumbent,median_average_delay_or_incumbent,mean_terminal_mip_gap,mean_solve_time_s,mean_end_to_end_time_s,mean_model_construction_time_s,mean_node_count,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,delay_order_check_case_count,delay_order_failure_count
40,0.5,0.5,0.5,0.125,PP,2,2,8,8,10,1.0,2.5375,2.4125,0.0,11.85068645477295,11.865441762656186,0.014667109958827496,107144.2,30.9,356.4,0.40599999999999997,9,0
40,0.5,0.5,0.5,0.125,PP,4,4,2,2,10,1.0,2.6149999987499837,2.575,0.0,7.866292190551758,7.878925925908436,0.012553016562014819,72325.5,28.9,313.6,0.47733333333333333,9,0
40,0.5,0.5,0.5,0.125,PP,4,4,4,4,10,1.0,2.7525,2.575,0.0,1.6739831924438477,1.6844817155965077,0.010423756949603558,28736.3,25.2,239.0,0.6016666666666667,9,0
40,0.5,0.5,0.5,0.125,PP,4,4,6,6,10,1.0,2.7600000000000002,2.575,0.0,0.6415205955505371,0.6524874814977779,0.01088967164978385,8754.2,24.6,226.6,0.6223333333333334,9,0
40,0.5,0.5,0.5,0.125,PP,4,4,8,8,10,1.0,2.7600000000000002,2.575,0.0,0.6052103996276855,0.6159134119461472,0.010620102286338806,8548.6,24.5,224.8,0.6253333333333334,9,0
40,0.5,0.5,0.5,0.125,PP,6,6,2,2,10,1.0,2.62749991417578,2.5749995708789015,0.0,0.5980211973190308,0.6096097328277894,0.011507538240402937,7203.1,27.1,276.1,0.5398333333333334,9,0
40,0.5,0.5,0.5,0.125,PP,6,6,4,4,10,1.0,2.9675000000000002,2.8375,0.0,0.08822259902954102,0.09750429325956286,0.009203801676630975,578.8,21.5,174.6,0.709,9,0
40,0.5,0.5,0.5,0.125,PP,6,6,6,6,10,1.0,3.0975,2.8375,0.0,0.068367600440979,0.07775129367751593,0.009308086428791284,142.2,20.6,159.8,0.7336666666666667,9,0
40,0.5,0.5,0.5,0.125,PP,6,6,8,8,10,1.0,3.2674999999999996,2.9625,0.0,0.06964612007141113,0.07848790770810546,0.00876405518501997,124.7,20.3,154.9,0.7418333333333333,9,0
40,0.5,0.5,0.5,0.125,PP,8,8,2,2,10,1.0,2.8174999733332635,2.9,0.0,0.3063668727874756,0.317893211421499,0.011445306055247784,3334.4,25.2,237.8,0.6036666666666666,9,0
40,0.5,0.5,0.5,0.125,PP,8,8,4,4,10,1.0,3.4325,3.0625,0.0,0.06293480396270752,0.07137116155868654,0.008359485957771539,247.3,19.3,139.2,0.768,9,0
40,0.5,0.5,0.5,0.125,PP,8,8,6,6,10,1.0,3.925,3.6500000000000004,4.986935234511225e-14,0.0341489315032959,0.04159495000367589,0.007377367839217186,105.2,17.5,114.1,0.8098333333333333,9,0
40,0.5,0.5,0.5,0.125,PP,8,8,8,8,10,1.0,4.76,4.1625,0.0,0.03770360946655273,0.045414816376367996,0.007637898717075586,142.7,17.0,107.1,0.8215,9,0
40,1.0,1.0,1.0,0.25,CHP,2,2,NA,NA,10,1.0,7.9275,7.5125,0.0,10.572444844245911,10.582108885785141,0.009572803601622581,87319.9,22.4,188.8,0.6853333333333333,0,0
40,1.0,1.0,1.0,0.25,CHP,4,4,NA,NA,10,1.0,8.4175,7.875,0.0,0.28121585845947267,0.28862639701875736,0.007326813414692879,5187.2,15.0,84.3,0.8595,0,0
40,1.0,1.0,1.0,0.25,CHP,6,6,NA,NA,10,1.0,9.577499999999999,9.0375,0.0,0.06394782066345214,0.07078177444138785,0.006754176970571279,726.4,11.4,49.4,0.9176666666666666,0,0
40,1.0,1.0,1.0,0.25,CHP,8,8,NA,NA,10,1.0,10.3325,10.35,0.0,0.03410489559173584,0.04015457361157231,0.0059663508087396625,342.0,9.3,33.7,0.9438333333333333,0,0
40,1.0,1.0,1.0,0.25,NP,NA,NA,1,1,10,0.2,7.95,7.3375,0.30660744612738206,548.6251140832901,548.6476636208008,0.022461479995399714,2164964.4,40.0,600.0,0.0,0,0
40,1.0,1.0,1.0,0.25,PP,2,2,2,2,10,1.0,7.8775,7.5125,0.0,126.79413039684296,126.80741387240792,0.01318321293219924,947612.2,27.7,287.7,0.5205,2,0
40,1.0,1.0,1.0,0.25,PP,2,2,4,4,10,1.0,7.9275,7.5125,0.0,12.322211194038392,12.331988384986847,0.009689222648739814,121822.5,23.2,202.4,0.6626666666666667,2,0
40,1.0,1.0,1.0,0.25,PP,2,2,6,6,10,1.0,7.9275,7.5125,0.0,11.33266716003418,11.342197964107608,0.009444393403828143,92340.4,22.5,190.5,0.6825,2,0
40,1.0,1.0,1.0,0.25,PP,2,2,8,8,10,1.0,7.9275,7.5125,0.0,10.766666722297668,10.775885657425977,0.009135257825255394,87319.9,22.4,188.8,0.6853333333333333,2,0
40,1.0,1.0,1.0,0.25,PP,4,4,2,2,10,1.0,8.0625,7.7625,0.0,49.05701990127564,49.0689232025576,0.011813377682119607,483566.1,24.5,225.4,0.6243333333333333,2,0
40,1.0,1.0,1.0,0.25,PP,4,4,4,4,10,1.0,8.345,7.8374999999999995,0.0,0.9295779943466187,0.9371826843747583,0.007521866634488106,18272.8,17.3,112.5,0.8125,2,0
40,1.0,1.0,1.0,0.25,PP,4,4,6,6,10,1.0,8.4175,7.875,0.0,0.38880746364593505,0.396843716266888,0.007951856404542924,7065.1,15.8,93.4,0.8443333333333334,2,0
40,1.0,1.0,1.0,0.25,PP,4,4,8,8,10,1.0,8.41,7.875,0.0,0.29162638187408446,0.2993243456839278,0.007612776849418879,6061.3,15.4,89.0,0.8516666666666668,2,0
40,1.0,1.0,1.0,0.25,PP,6,6,2,2,10,1.0,8.2075,8.15,0.0,22.378993415832518,22.38898987979129,0.009913574252277613,245309.9,23.3,204.0,0.6599999999999999,2,0
40,1.0,1.0,1.0,0.25,PP,6,6,4,4,10,1.0,8.8,8.35,0.0,0.409755802154541,0.41706037773758464,0.007220529951155186,11060.3,15.1,86.0,0.8566666666666667,2,0
40,1.0,1.0,1.0,0.25,PP,6,6,6,6,10,1.0,9.1975,9.0375,0.0,0.11470391750335693,0.12180337437216145,0.007011687103658915,2414.4,12.8,61.7,0.8971666666666666,2,0
40,1.0,1.0,1.0,0.25,PP,6,6,8,8,10,1.0,9.145,9.0375,0.0,0.08139164447784424,0.08777400053188353,0.006303606554865837,1213.5,12.2,55.9,0.9068333333333334,2,0
40,1.0,1.0,1.0,0.25,PP,8,8,2,2,10,1.0,8.2075,8.2125,0.0,18.916027355194093,18.925266044954313,0.009162245318293571,216427.3,22.7,193.6,0.6773333333333332,2,0
40,1.0,1.0,1.0,0.25,PP,8,8,4,4,10,1.0,8.965,8.4625,3.1923670056650216e-14,0.20020132064819335,0.20687556308677735,0.006591524928808212,5494.5,14.1,74.8,0.8753333333333334,2,0
40,1.0,1.0,1.0,0.25,PP,8,8,6,6,10,1.0,9.42,9.05,0.0,0.07341213226318359,0.07987277156490774,0.0063795046880841255,1016.9,11.6,51.1,0.9148333333333334,2,0
40,1.0,1.0,1.0,0.25,PP,8,8,8,8,10,1.0,9.845,10.087499999999999,3.610633198018362e-14,0.053963446617126466,0.0603956823472742,0.0063518955372273925,648.5,10.6,42.3,0.9295,2,0
40,1.5,1.5,1.5,0.375,CHP,2,2,NA,NA,10,1.0,11.782499998571428,11.2875,0.0,7.566326928138733,7.573446564870818,0.007052340824156999,125024.5,18.2,123.1,0.7948333333333333,0,0
40,1.5,1.5,1.5,0.375,CHP,4,4,NA,NA,10,1.0,12.657499737676952,12.25,0.0,0.08016278743743896,0.08556070776113948,0.005339154228568077,2456.4,11.0,44.9,0.9251666666666667,0,0
40,1.5,1.5,1.5,0.375,CHP,6,6,NA,NA,10,1.0,13.99,13.625,2.2857459274310826e-14,0.020828676223754884,0.025648759301555253,0.0047643986530601975,281.0,7.1,18.7,0.9688333333333332,0,0
