N,arrival_rate,threshold,max_platoon_size,cases,case_count,actual_gap_case_count,actual_gap_availability_rate,np_optimality_rate,pp_optimality_rate,violation_count,violation_rate,actual_equals_partition_bound_cases,partition_equals_rule_bound_cases,mean_actual_gap,median_actual_gap,mean_partition_specific_upper_bound,median_partition_specific_upper_bound,mean_rule_level_upper_bound,median_rule_level_upper_bound,mean_number_of_platoons,mean_ordering_variable_count,optimality_rate
16,0.7,1,5,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,1.0
16,0.7,2,2,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,1.7708333333333333,2.1875,6.5,6.5,9.333333333333334,32.666666666666664,1.0
16,0.7,2,3,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,1.0833333333333333,0.8125,8.125,8.125,8.333333333333334,26.0,1.0
16,0.7,2,4,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,1.7708333333333333,2.1875,9.75,9.75,5.666666666666667,12.0,1.0
16,0.7,2,5,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,1.7708333333333333,2.1875,9.75,9.75,5.666666666666667,12.0,1.0
16,0.7,3,2,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,2.7708333333333335,2.1875,14.0,14.0,8.666666666666666,28.333333333333332,1.0
16,0.7,3,3,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,1.0833333333333333,0.8125,17.5,17.5,8.333333333333334,26.0,1.0
16,0.7,3,4,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,2.7708333333333335,2.1875,21.0,21.0,5.0,9.666666666666666,1.0
16,0.7,3,5,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,2.7708333333333335,2.1875,21.0,21.0,5.0,9.666666666666666,1.0
16,0.7,4,2,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,4.5625,5.3125,21.5,21.5,8.333333333333334,26.0,1.0
16,0.7,4,3,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,2.875,1.625,26.875,26.875,8.0,24.0,1.0
16,0.7,4,4,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,4.5625,5.3125,32.25,32.25,4.333333333333333,7.0,1.0
16,0.7,4,5,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,4.5625,5.3125,32.25,32.25,4.333333333333333,7.0,1.0
16,1.0,1,2,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,32.666666666666664,1.0
16,1.0,1,3,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,32.666666666666664,1.0
16,1.0,1,4,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.666666666666668,1.0
16,1.0,1,5,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.666666666666668,1.0
16,1.0,2,2,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,0,0.0,0.0,1.0208333333333333,1.4375,6.5,6.5,8.666666666666666,28.0,1.0
16,1.0,2,3,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,0,0.0,0.0,1.2708333333333333,1.4375,8.125,8.125,8.0,24.0,1.0
16,1.0,2,4,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,0,0.0,0.0,1.2708333333333333,1.4375,9.75,9.75,5.333333333333333,10.333333333333334,1.0
16,1.0,2,5,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,0,0.0,0.0,1.2708333333333333,1.4375,9.75,9.75,5.333333333333333,10.333333333333334,1.0
16,1.0,3,2,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,0,0.0,0.0,1.8541666666666667,2.4375,14.0,14.0,8.0,24.0,1.0
16,1.0,3,3,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,2.7083333333333335,2.375,17.5,17.5,8.0,24.0,1.0
16,1.0,3,4,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,3.4375,3.875,21.0,21.0,4.0,6.0,1.0
16,1.0,3,5,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,3.4375,3.875,21.0,21.0,4.0,6.0,1.0
16,1.0,4,2,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1,0,0.0,0.0,1.8541666666666667,2.4375,21.5,21.5,8.0,24.0,1.0
16,1.0,4,3,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,2.7083333333333335,2.375,26.875,26.875,8.0,24.0,1.0
16,1.0,4,4,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,3.4375,3.875,32.25,32.25,4.0,6.0,1.0
16,1.0,4,5,3,3,1,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0,0,0.0,0.0,3.4375,3.875,32.25,32.25,4.0,6.0,1.0
20,0.4,1,2,3,3,0,0.0,0.0,0.6666666666666666,0,,0,3,,,0.0,0.0,0.0,0.0,14.333333333333334,77.0,0.6666666666666666
20,0.4,1,3,3,3,0,0.0,0.0,1.0,0,,0,3,,,0.0,0.0,0.0,0.0,13.333333333333334,67.33333333333333,1.0
20,0.4,1,4,3,3,0,0.0,0.0,1.0,0,,0,3,,,0.0,0.0,0.0,0.0,13.333333333333334,67.33333333333333,1.0
